epoch,train_loss,train_acc,val_loss,val_overall_acc,val_worst_group_acc,collapsed_groups
1,3.8198281630225805,0.18817934782608695,2.796133270263672,0.33125,0.0,259
2,1.4371812356554943,0.7085597826086957,1.5478844261169433,0.65375,0.0,133
3,0.9013436851294144,0.875,1.034598093032837,0.80125,0.0,72
4,0.7383214896139891,0.9381793478260869,0.8709194374084472,0.88,0.0,43
5,0.6675651397394098,0.9619565217391305,0.7330989408493042,0.90625,0.0,33
6,0.610037114309228,0.9714673913043478,0.7158868646621704,0.9175,0.0,31
7,0.581705778837204,0.9789402173913043,0.6654098320007324,0.935,0.0,22
8,0.5795649069806804,0.9823369565217391,0.6608230352401734,0.93875,0.0,20
