epoch,train_loss,train_acc,val_loss,val_overall_acc,val_worst_group_acc,val_collapsed,test_loss,test_overall_acc,test_worst_group_acc,test_collapsed
1,3.7679046677506487,0.18206521739130435,2.593990535736084,0.335,0.0,266,2.599113868077596,0.3275,0.0,262
2,1.076097364011018,0.6841032608695652,1.0837890672683717,0.6975,0.0,121,1.0891125877698262,0.6808333333333333,0.0,115
3,0.38608031817104504,0.890625,0.6527494382858277,0.805,0.0,78,0.6442673627535502,0.8083333333333333,0.0,67
4,0.24509504923354025,0.9286684782608695,0.3324399197101593,0.9075,0.0,37,0.3373068294922511,0.9016666666666666,0.0,32
5,0.1652307563825794,0.951766304347826,0.2713755178451538,0.91,0.0,36,0.2757313372691472,0.9066666666666666,0.0,32
6,0.13134340431703173,0.967391304347826,0.1639355593919754,0.9525,0.0,19,0.16459099342425665,0.955,0.0,15
7,0.09439656025041705,0.9762228260869565,0.16429103493690492,0.955,0.0,18,0.16516093571980794,0.9541666666666667,0.0,16
8,0.08266547237239454,0.9748641304347826,0.1579926973581314,0.955,0.0,18,0.1601769627134005,0.9533333333333334,0.0,16
