epoch,train_loss,train_acc,val_loss,val_overall_acc,val_worst_group_acc
1,3.486538633223503,0.18044354838709678,2.8387251186370848,0.3125,0.0
2,1.4436496726928219,0.7227822580645161,1.9362344455718994,0.56,0.0
3,0.9298804248532941,0.8467741935483871,1.25639976978302,0.69,0.0
4,0.7515859007835388,0.9002016129032258,1.150141291618347,0.735,0.0
5,0.6734551268239175,0.9223790322580645,0.8692841124534607,0.825,0.0
6,0.6224913520197715,0.9455645161290323,0.7911486220359802,0.8625,0.0
7,0.6035871544191914,0.9536290322580645,0.7640873575210572,0.875,0.0
8,0.5759846500812038,0.9556451612903226,0.7508481645584106,0.8825,0.0
